,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2,Desc_Contaminant,Unitats
561,8,Barcelona,19,Barcelona,57,10,2021,1,4,7.0,V,4.0,V,5.0,V,7.0,V,6.0,V,4.0,V,5.0,V,5.0,V,3.0,V,5.0,V,4.0,V,6.0,V,7.0,V,6.0,V,3.0,V,3.0,V,6.0,V,8.0,V,12.0,V,12.0,V,10.0,V,10.0,V,12.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
562,8,Barcelona,19,Barcelona,57,10,2021,1,5,8.0,V,7.0,V,7.0,V,5.0,V,5.0,V,6.0,V,7.0,V,8.0,V,9.0,V,10.0,V,11.0,V,10.0,V,10.0,V,9.0,V,12.0,V,13.0,V,13.0,V,14.0,V,11.0,V,8.0,V,5.0,V,7.0,V,7.0,V,8.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
563,8,Barcelona,19,Barcelona,57,10,2021,1,6,10.0,V,10.0,V,13.0,V,11.0,V,8.0,V,10.0,V,10.0,V,8.0,V,8.0,V,11.0,V,11.0,V,10.0,V,10.0,V,11.0,V,13.0,V,13.0,V,10.0,V,11.0,V,18.0,V,18.0,V,10.0,V,11.0,V,10.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
564,8,Barcelona,19,Barcelona,57,10,2021,1,7,11.0,V,9.0,V,10.0,V,11.0,V,10.0,V,9.0,V,8.0,V,8.0,V,10.0,V,9.0,V,11.0,V,13.0,V,13.0,V,14.0,V,12.0,V,14.0,V,17.0,V,14.0,V,16.0,V,23.0,V,23.0,V,16.0,V,14.0,V,11.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
565,8,Barcelona,19,Barcelona,57,10,2021,1,8,14.0,V,13.0,V,13.0,V,13.0,V,13.0,V,15.0,V,17.0,V,16.0,V,17.0,V,19.0,V,19.0,V,19.0,V,19.0,V,17.0,V,17.0,V,21.0,V,22.0,V,20.0,V,23.0,V,17.0,V,19.0,V,15.0,V,6.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
566,8,Barcelona,19,Barcelona,57,10,2021,1,9,4.0,V,11.0,V,12.0,V,12.0,V,8.0,V,5.0,V,6.0,V,7.0,V,4.0,V,5.0,V,3.0,V,3.0,V,2.0,V,2.0,V,3.0,V,5.0,V,4.0,V,2.0,V,3.0,V,3.0,V,5.0,V,4.0,V,3.0,V,7.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
567,8,Barcelona,19,Barcelona,57,10,2021,1,10,6.0,V,4.0,V,3.0,V,3.0,V,3.0,V,5.0,V,4.0,V,5.0,V,5.0,V,6.0,V,7.0,V,8.0,V,10.0,V,7.0,V,7.0,V,10.0,V,8.0,V,8.0,V,14.0,V,11.0,V,10.0,V,8.0,V,7.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
568,8,Barcelona,19,Barcelona,57,10,2021,1,11,4.0,V,4.0,V,4.0,V,5.0,V,6.0,V,9.0,V,9.0,V,8.0,V,12.0,V,14.0,V,13.0,V,10.0,V,,N,,N,,N,,N,20.0,V,17.0,V,14.0,V,14.0,V,11.0,V,11.0,V,11.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
569,8,Barcelona,19,Barcelona,57,10,2021,1,12,10.0,V,7.0,V,8.0,V,8.0,V,6.0,V,6.0,V,6.0,V,6.0,V,8.0,V,8.0,V,9.0,V,9.0,V,8.0,V,9.0,V,8.0,V,8.0,V,7.0,V,9.0,V,9.0,V,11.0,V,11.0,V,10.0,V,9.0,V,9.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
570,8,Barcelona,19,Barcelona,57,10,2021,1,13,9.0,V,8.0,V,8.0,V,7.0,V,6.0,V,6.0,V,8.0,V,8.0,V,8.0,V,9.0,V,14.0,V,12.0,V,18.0,V,10.0,V,10.0,V,9.0,V,8.0,V,7.0,V,6.0,V,7.0,V,7.0,V,6.0,V,7.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
571,8,Barcelona,19,Barcelona,57,10,2021,1,14,6.0,V,6.0,V,6.0,V,7.0,V,5.0,V,5.0,V,5.0,V,5.0,V,6.0,V,8.0,V,7.0,V,7.0,V,6.0,V,6.0,V,8.0,V,8.0,V,8.0,V,8.0,V,9.0,V,10.0,V,9.0,V,9.0,V,7.0,V,6.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
572,8,Barcelona,19,Barcelona,57,10,2021,1,15,6.0,V,5.0,V,5.0,V,5.0,V,5.0,V,6.0,V,4.0,V,3.0,V,5.0,V,8.0,V,11.0,V,10.0,V,7.0,V,8.0,V,8.0,V,8.0,V,13.0,V,23.0,V,15.0,V,15.0,V,15.0,V,17.0,V,14.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
573,8,Barcelona,19,Barcelona,57,10,2021,1,16,6.0,V,3.0,V,8.0,V,9.0,V,11.0,V,12.0,V,8.0,V,9.0,V,4.0,V,5.0,V,6.0,V,8.0,V,8.0,V,7.0,V,7.0,V,11.0,V,15.0,V,16.0,V,9.0,V,7.0,V,6.0,V,5.0,V,8.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
574,8,Barcelona,19,Barcelona,57,10,2021,1,17,8.0,V,6.0,V,5.0,V,5.0,V,5.0,V,4.0,V,5.0,V,4.0,V,7.0,V,8.0,V,8.0,V,8.0,V,7.0,V,7.0,V,9.0,V,10.0,V,9.0,V,17.0,V,23.0,V,27.0,V,25.0,V,23.0,V,19.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
575,8,Barcelona,19,Barcelona,57,10,2021,1,18,12.0,V,12.0,V,11.0,V,13.0,V,14.0,V,12.0,V,9.0,V,,N,,N,,N,,N,,N,6.0,V,13.0,V,24.0,V,22.0,V,20.0,V,21.0,V,26.0,V,26.0,V,19.0,V,19.0,V,17.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
576,8,Barcelona,19,Barcelona,57,10,2021,1,19,15.0,V,15.0,V,13.0,V,12.0,V,11.0,V,11.0,V,10.0,V,11.0,V,16.0,V,25.0,V,26.0,V,19.0,V,20.0,V,18.0,V,18.0,V,20.0,V,22.0,V,22.0,V,20.0,V,15.0,V,13.0,V,11.0,V,10.0,V,8.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
577,8,Barcelona,19,Barcelona,57,10,2021,1,20,9.0,V,9.0,V,12.0,V,13.0,V,12.0,V,13.0,V,14.0,V,18.0,V,27.0,V,33.0,V,27.0,V,26.0,V,30.0,V,,N,,N,,N,,N,,N,20.0,V,17.0,V,22.0,V,24.0,V,20.0,V,18.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
578,8,Barcelona,19,Barcelona,57,10,2021,1,21,17.0,V,16.0,V,17.0,V,17.0,V,12.0,V,2.0,V,5.0,V,8.0,V,11.0,V,11.0,V,16.0,V,15.0,V,15.0,V,10.0,V,6.0,V,,N,,N,16.0,V,13.0,V,9.0,V,7.0,V,28.0,V,30.0,V,20.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
579,8,Barcelona,19,Barcelona,57,10,2021,1,22,9.0,V,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
580,8,Barcelona,19,Barcelona,57,10,2021,1,23,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
581,8,Barcelona,19,Barcelona,57,10,2021,1,24,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
582,8,Barcelona,19,Barcelona,57,10,2021,1,25,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
583,8,Barcelona,19,Barcelona,57,10,2021,1,26,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,10.0,V,8.0,V,14.0,V,17.0,V,17.0,V,18.0,V,17.0,V,15.0,V,15.0,V,12.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
584,8,Barcelona,19,Barcelona,57,10,2021,1,27,12.0,V,9.0,V,6.0,V,5.0,V,5.0,V,9.0,V,11.0,V,10.0,V,26.0,V,21.0,V,28.0,V,20.0,V,47.0,V,31.0,V,30.0,V,20.0,V,23.0,V,16.0,V,19.0,V,27.0,V,29.0,V,24.0,V,20.0,V,20.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
585,8,Barcelona,19,Barcelona,57,10,2021,1,28,13.0,V,14.0,V,15.0,V,12.0,V,6.0,V,7.0,V,5.0,V,11.0,V,7.0,V,9.0,V,11.0,V,10.0,V,16.0,V,23.0,V,17.0,V,24.0,V,23.0,V,29.0,V,29.0,V,33.0,V,24.0,V,22.0,V,20.0,V,17.0,V,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
586,8,Barcelona,19,Barcelona,57,10,2021,1,29,13.0,V,21.0,V,16.0,V,2.0,V,4.0,V,4.0,V,6.0,V,7.0,V,10.0,V,9.0,V,10.0,V,10.0,V,10.0,V,14.0,V,9.0,V,9.0,V,8.0,V,7.0,V,15.0,V,21.0,V,21.0,V,21.0,V,18.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
587,8,Barcelona,19,Barcelona,57,10,2021,1,30,12.0,V,11.0,V,12.0,V,13.0,V,11.0,V,8.0,V,2.0,V,3.0,V,3.0,V,6.0,V,5.0,V,3.0,V,4.0,V,7.0,V,14.0,V,8.0,V,6.0,V,8.0,V,5.0,V,7.0,V,5.0,V,4.0,V,4.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
588,8,Barcelona,19,Barcelona,57,10,2021,1,31,4.0,V,5.0,V,5.0,V,4.0,V,6.0,V,6.0,V,5.0,V,7.0,V,7.0,V,7.0,V,7.0,V,8.0,V,12.0,V,12.0,V,9.0,V,11.0,V,10.0,V,8.0,V,7.0,V,7.0,V,7.0,V,8.0,V,7.0,V,,N,Barcelona - Palau Reial,IZ,1,8019057,2.1151,41.3875,c/ John Maynard Keynes - c/ de Jordi Girona,4,Les Corts,21,Pedralbes,Urbana,Fons,PM10,Âµg/mÂ³
589,8,Barcelona,19,Barcelona,4,12,2021,1,1,39.0,V,37.0,V,28.0,V,25.0,V,36.0,V,39.0,V,17.0,V,27.0,V,35.0,V,36.0,V,33.0,V,24.0,V,36.0,V,47.0,V,46.0,V,36.0,V,34.0,V,19.0,V,18.0,V,24.0,V,21.0,V,30.0,V,14.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
590,8,Barcelona,19,Barcelona,4,12,2021,1,2,10.0,V,12.0,V,9.0,V,8.0,V,7.0,V,8.0,V,10.0,V,10.0,V,12.0,V,13.0,V,22.0,V,21.0,V,26.0,V,24.0,V,21.0,V,20.0,V,21.0,V,26.0,V,34.0,V,46.0,V,52.0,V,49.0,V,51.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
591,8,Barcelona,19,Barcelona,4,12,2021,1,3,38.0,V,12.0,V,4.0,V,3.0,V,3.0,V,7.0,V,6.0,V,7.0,V,9.0,V,18.0,V,15.0,V,13.0,V,15.0,V,16.0,V,26.0,V,29.0,V,28.0,V,34.0,V,63.0,V,112.0,V,99.0,V,96.0,V,66.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
592,8,Barcelona,19,Barcelona,4,12,2021,1,4,51.0,V,45.0,V,40.0,V,44.0,V,37.0,V,43.0,V,55.0,V,86.0,V,126.0,V,37.0,V,,N,,N,38.0,V,25.0,V,29.0,V,27.0,V,24.0,V,34.0,V,44.0,V,38.0,V,58.0,V,59.0,V,26.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
593,8,Barcelona,19,Barcelona,4,12,2021,1,5,43.0,V,62.0,V,64.0,V,34.0,V,32.0,V,52.0,V,73.0,V,95.0,V,121.0,V,131.0,V,114.0,V,79.0,V,34.0,V,25.0,V,24.0,V,21.0,V,31.0,V,47.0,V,68.0,V,76.0,V,52.0,V,49.0,V,41.0,V,54.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
594,8,Barcelona,19,Barcelona,4,12,2021,1,6,42.0,V,38.0,V,29.0,V,24.0,V,21.0,V,25.0,V,29.0,V,29.0,V,28.0,V,38.0,V,35.0,V,39.0,V,42.0,V,34.0,V,23.0,V,17.0,V,18.0,V,26.0,V,79.0,V,115.0,V,90.0,V,58.0,V,49.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
595,8,Barcelona,19,Barcelona,4,12,2021,1,7,33.0,V,36.0,V,36.0,V,34.0,V,29.0,V,33.0,V,39.0,V,58.0,V,84.0,V,115.0,V,110.0,V,111.0,V,117.0,V,57.0,V,31.0,V,28.0,V,38.0,V,36.0,V,81.0,V,104.0,V,89.0,V,66.0,V,46.0,V,25.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
596,8,Barcelona,19,Barcelona,4,12,2021,1,8,26.0,V,37.0,V,27.0,V,17.0,V,18.0,V,31.0,V,33.0,V,57.0,V,70.0,V,69.0,V,72.0,V,80.0,V,82.0,V,79.0,V,56.0,V,60.0,V,72.0,V,104.0,V,120.0,V,110.0,V,95.0,V,65.0,V,34.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
597,8,Barcelona,19,Barcelona,4,12,2021,1,9,12.0,V,13.0,V,6.0,V,7.0,V,11.0,V,15.0,V,14.0,V,11.0,V,12.0,V,17.0,V,18.0,V,23.0,V,16.0,V,16.0,V,13.0,V,12.0,V,14.0,V,16.0,V,11.0,V,12.0,V,11.0,V,13.0,V,10.0,V,9.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
598,8,Barcelona,19,Barcelona,4,12,2021,1,10,11.0,V,6.0,V,6.0,V,5.0,V,6.0,V,9.0,V,7.0,V,10.0,V,12.0,V,15.0,V,13.0,V,15.0,V,22.0,V,33.0,V,37.0,V,40.0,V,19.0,V,35.0,V,44.0,V,38.0,V,32.0,V,48.0,V,31.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
599,8,Barcelona,19,Barcelona,4,12,2021,1,11,17.0,V,13.0,V,13.0,V,11.0,V,7.0,V,12.0,V,18.0,V,35.0,V,48.0,V,52.0,V,52.0,V,48.0,V,39.0,V,37.0,V,31.0,V,30.0,V,34.0,V,38.0,V,40.0,V,31.0,V,29.0,V,23.0,V,20.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
600,8,Barcelona,19,Barcelona,4,12,2021,1,12,19.0,V,11.0,V,9.0,V,9.0,V,9.0,V,12.0,V,20.0,V,32.0,V,52.0,V,46.0,V,35.0,V,38.0,V,30.0,V,29.0,V,31.0,V,30.0,V,35.0,V,34.0,V,36.0,V,37.0,V,30.0,V,35.0,V,31.0,V,24.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
601,8,Barcelona,19,Barcelona,4,12,2021,1,13,18.0,V,14.0,V,15.0,V,20.0,V,10.0,V,14.0,V,20.0,V,36.0,V,48.0,V,36.0,V,37.0,V,32.0,V,36.0,V,35.0,V,33.0,V,37.0,V,51.0,V,44.0,V,29.0,V,26.0,V,24.0,V,25.0,V,18.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
602,8,Barcelona,19,Barcelona,4,12,2021,1,14,12.0,V,8.0,V,7.0,V,9.0,V,8.0,V,10.0,V,16.0,V,30.0,V,54.0,V,99.0,V,,N,,N,34.0,V,33.0,V,27.0,V,32.0,V,32.0,V,39.0,V,49.0,V,69.0,V,51.0,V,38.0,V,34.0,V,35.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
603,8,Barcelona,19,Barcelona,4,12,2021,1,15,19.0,V,13.0,V,12.0,V,15.0,V,26.0,V,47.0,V,63.0,V,120.0,V,151.0,V,225.0,V,275.0,V,212.0,V,53.0,V,54.0,V,68.0,V,67.0,V,37.0,V,39.0,V,55.0,V,161.0,V,271.0,V,242.0,V,155.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
604,8,Barcelona,19,Barcelona,4,12,2021,1,16,119.0,V,78.0,V,78.0,V,55.0,V,44.0,V,36.0,V,35.0,V,56.0,V,67.0,V,70.0,V,67.0,V,24.0,V,22.0,V,23.0,V,20.0,V,20.0,V,29.0,V,35.0,V,32.0,V,33.0,V,29.0,V,31.0,V,52.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
605,8,Barcelona,19,Barcelona,4,12,2021,1,17,23.0,V,20.0,V,17.0,V,11.0,V,15.0,V,22.0,V,32.0,V,25.0,V,29.0,V,41.0,V,37.0,V,37.0,V,21.0,V,28.0,V,30.0,V,19.0,V,17.0,V,25.0,V,62.0,V,86.0,V,97.0,V,119.0,V,132.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
606,8,Barcelona,19,Barcelona,4,12,2021,1,18,76.0,V,48.0,V,42.0,V,41.0,V,32.0,V,53.0,V,78.0,V,145.0,V,220.0,V,246.0,V,242.0,V,180.0,V,99.0,V,38.0,V,58.0,V,56.0,V,56.0,V,96.0,V,130.0,V,205.0,V,237.0,V,157.0,V,156.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
607,8,Barcelona,19,Barcelona,4,12,2021,1,19,114.0,V,74.0,V,61.0,V,53.0,V,46.0,V,47.0,V,95.0,V,134.0,V,199.0,V,222.0,V,202.0,V,156.0,V,67.0,V,65.0,V,36.0,V,41.0,V,49.0,V,51.0,V,52.0,V,66.0,V,56.0,V,48.0,V,67.0,V,79.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
608,8,Barcelona,19,Barcelona,4,12,2021,1,20,62.0,V,40.0,V,42.0,V,49.0,V,61.0,V,66.0,V,84.0,V,157.0,V,223.0,V,231.0,V,178.0,V,93.0,V,82.0,V,57.0,V,51.0,V,45.0,V,65.0,V,75.0,V,60.0,V,53.0,V,53.0,V,40.0,V,33.0,V,28.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
609,8,Barcelona,19,Barcelona,4,12,2021,1,21,48.0,V,60.0,V,48.0,V,61.0,V,52.0,V,62.0,V,106.0,V,213.0,V,121.0,V,173.0,V,160.0,V,93.0,V,94.0,V,67.0,V,40.0,V,62.0,V,82.0,V,94.0,V,136.0,V,201.0,V,163.0,V,250.0,V,212.0,V,119.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
610,8,Barcelona,19,Barcelona,4,12,2021,1,22,106.0,V,96.0,V,69.0,V,73.0,V,18.0,V,14.0,V,26.0,V,41.0,V,60.0,V,39.0,V,26.0,V,48.0,V,43.0,V,29.0,V,14.0,V,16.0,V,20.0,V,22.0,V,19.0,V,17.0,V,16.0,V,15.0,V,11.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
611,8,Barcelona,19,Barcelona,4,12,2021,1,23,9.0,V,9.0,V,9.0,V,6.0,V,6.0,V,6.0,V,12.0,V,25.0,V,23.0,V,21.0,V,23.0,V,19.0,V,14.0,V,16.0,V,14.0,V,13.0,V,13.0,V,15.0,V,18.0,V,20.0,V,16.0,V,19.0,V,21.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
612,8,Barcelona,19,Barcelona,4,12,2021,1,24,22.0,V,22.0,V,21.0,V,10.0,V,5.0,V,5.0,V,3.0,V,4.0,V,4.0,V,9.0,V,7.0,V,11.0,V,11.0,V,16.0,V,17.0,V,11.0,V,12.0,V,14.0,V,18.0,V,17.0,V,32.0,V,31.0,V,23.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NOx,Âµg/mÂ³
